Regulator	Target
contig_61605_1	contig_103957_1
contig_12945_1	AC233572_29
contig_12945_1	AC233685_76
contig_12945_1	Medtr2g042970
contig_12945_1	Medtr3g018980
contig_12945_1	Medtr3g022230
contig_12945_1	Medtr6g087320
Medtr1g093600	Medtr2g031490
Medtr1g093600	Medtr3g080860
Medtr1g093600	TC180874
Medtr1g093600	contig_173054_1
Medtr4g085480	Medtr7g068050
Medtr4g085480	Medtr8g018280
Medtr4g085480	contig_127923_19
Medtr4g085480	contig_15361_54
Medtr4g085480	contig_166221_1
Medtr4g085480	contig_170992_1
Medtr4g085480	contig_71388_1
Medtr4g085480	contig_83669_2
Medtr4g085480	contig_84844_1
Medtr1g085160	AC233577_9
Medtr1g085160	Medtr6g013530
Medtr1g085160	Medtr8g045880
Medtr1g085160	contig_165303_1
Medtr1g085160	contig_18471_1
Medtr1g085160	contig_59357_1
Medtr5g070310	Medtr1g094730
Medtr5g070310	Medtr3g086520
Medtr5g070310	Medtr5g007630
Medtr5g070310	Medtr8g088590
Medtr5g070310	TC191995
Medtr1g089280	BF644261
Medtr1g089280	Medtr1g089330
Medtr1g089280	Medtr2g014680
Medtr1g089280	Medtr4g044180
Medtr1g089280	Medtr4te054790
Medtr1g089280	Medtr8g088250
Medtr1g089280	contig_69577_1
Medtr8g088930	Medtr2g062660
Medtr8g088930	Medtr5g041900
Medtr8g088930	Medtr7g070060
Medtr8g088930	TC199412
Medtr8g088930	contig_107391_1
Medtr8g088930	contig_114316_2
Medtr8g088930	contig_19859_18
Medtr8g088930	contig_49127_2
contig_101096_1	AC146565_12
contig_101096_1	AC233675_7
contig_101096_1	CA921278
contig_101096_1	DY615585
contig_101096_1	DY618013
contig_101096_1	Medtr1g011540
contig_101096_1	Medtr2g054210
contig_101096_1	Medtr3g077910
contig_101096_1	Medtr3g079780
contig_101096_1	Medtr3g111350
contig_101096_1	Medtr3te062760
contig_101096_1	Medtr3te062780
contig_101096_1	Medtr3te062800
contig_101096_1	Medtr4g071710
contig_101096_1	Medtr5g014030
contig_101096_1	Medtr5g036090
contig_101096_1	Medtr7g084350
contig_101096_1	TC192986
contig_101096_1	TC198778
contig_101096_1	TC202357
contig_101096_1	contig_107956_1
contig_101096_1	contig_112300_1
contig_101096_1	contig_165344_1
contig_101096_1	contig_18329_1
contig_101096_1	contig_72451_1
contig_101096_1	contig_74339_1
contig_101096_1	contig_81632_2
Medtr5g021130	AC146565_19
Medtr5g021130	Medtr3g014660
Medtr5g021130	Medtr7g082810
Medtr5g021130	Medtr8g061270
Medtr8g036720	DY615585
Medtr8g036720	Medtr5g036090
Medtr8g036720	contig_165344_1
AC229724_1053	CA921278
AC229724_1053	Medtr8g023090
AC229724_1053	TC192986
Medtr1g031540	Medtr3g116410
Medtr1g031540	Medtr7g111350
Medtr1g031540	contig_101706_1
Medtr1g031540	contig_240947_1
Medtr1g031540	contig_55575_1
Medtr1g031540	contig_56283_1
Medtr1g031540	contig_64743_1
Medtr1g009270	Medtr3g084620
Medtr1g009270	Medtr3g084630
Medtr1g009270	contig_53541_1
Medtr1g009270	contig_56693_1
Medtr1g009270	contig_60621_1
DY616287	Medtr7g075890
DY616287	contig_50131_1
DY616287	contig_61428_1
Medtr5g007230	Medtr1g084720
Medtr5g007230	Medtr4g080340
Medtr5g007230	Medtr7g074120
Medtr7g092750	AC225526_3
Medtr7g092750	Medtr1g041520
Medtr7g092750	Medtr1g041550
Medtr7g092750	Medtr4g014570
Medtr7g092750	Medtr5g009460
Medtr7g092750	contig_50005_1
Medtr7g092750	contig_88610_1
Medtr7g092750	contig_90573_1
Medtr5g015050	AC235674_1
Medtr5g015050	Medtr3g070900
Medtr5g015050	Medtr4g115530
Medtr5g015050	Medtr5g045520
Medtr5g015050	Medtr5g082490
Medtr5g015050	Medtr7g038380
Medtr5g015050	Medtr7g110600
Medtr5g015050	contig_56731_1
AC235009_60	AC235006_16
AC235009_60	AC235677_32
AC235009_60	Medtr3g077110
AC235009_60	Medtr3g106320
AC235009_60	Medtr5g014840
contig_71245_1	AC233676_2
contig_71245_1	TC183833
contig_71245_1	contig_175238_1
contig_71245_1	contig_21049_65
contig_71245_1	contig_51543_1
contig_71245_1	contig_76369_1
AC225507_50	Medtr1g088700
AC225507_50	Medtr4g077930
AC225507_50	Medtr4g078030
AC235674_1	Medtr3g008470
AC235674_1	Medtr4g107850
AC235674_1	contig_112224_1
AL372685	AL367277
AL372685	AW685919
AL372685	TC183472
AL372685	TC184790
AL372685	TC191248
AL372685	TC198322
AL372685	contig_104638_1
AL372685	contig_135668_1
AL372685	contig_186152_1
AL372685	contig_241427_1
AL372685	contig_63585_1
AL372685	contig_72627_1
Medtr4g091570	Medtr1g038810
Medtr4g091570	Medtr1g086520
Medtr4g091570	Medtr1g116790
Medtr4g091570	Medtr2g015040
Medtr4g091570	Medtr2g075690
Medtr4g091570	Medtr2te045740
Medtr4g091570	Medtr3g014290
Medtr4g091570	Medtr5g093440
Medtr4g091570	Medtr5g094520
Medtr4g091570	Medtr7g076520
contig_69318_1	Medtr1g038680
contig_69318_1	Medtr1g043200
contig_69318_1	Medtr1g043290
contig_69318_1	Medtr3g008270
contig_69318_1	Medtr3g008280
contig_69318_1	Medtr5g092410
contig_69318_1	Medtr7g117350
contig_69318_1	Medtr8g014790
contig_69318_1	contig_102866_1
Medtr1g014240	Medtr1g072380
Medtr1g014240	Medtr5g027810
Medtr1g014240	Medtr5g098280
Medtr1g014240	Medtr7g087070
Medtr1g014240	contig_112473_56
Medtr1g014240	contig_171805_1
Medtr1g014240	contig_59271_2
Medtr1g014240	contig_61230_1
contig_60503_1	AW695369
contig_60503_1	Medtr1g075260
contig_60503_1	Medtr2g028580
contig_60503_1	Medtr3g011370
contig_60503_1	Medtr6g071280
contig_60503_1	contig_52964_2
contig_60503_1	contig_91600_1
contig_61907_1	AC233679_4
contig_61907_1	AW685919
contig_61907_1	Medtr5g016450
contig_61907_1	Medtr5g032900
contig_61907_1	Medtr5g080660
contig_61907_1	Medtr8g072000
contig_61907_1	TC178641
contig_61907_1	TC185160
contig_61907_1	TC200366
Medtr2g086420	Medtr3g102450
Medtr2g086420	Medtr4g076810
Medtr2g086420	Medtr4g076820
Medtr2g086420	Medtr4g095310
Medtr2g086420	Medtr4g127840
Medtr2g086420	Medtr5g026370
Medtr2g086420	contig_55013_2
Medtr2g086420	contig_60503_1
Medtr8g067530	Medtr1g006490
Medtr8g067530	Medtr2g036740
Medtr8g067530	Medtr4g112270
Medtr8g067530	Medtr7g024310
