0610009D07Rik	-0.324369	0.841053	0.314282	0.338121	-0.216243	0.875829	0.207016	0.0892785	-0.0557843	0.712821	0.777429	0.127544	-0.23637	0.777887	0.230958	0.15522	0.0614841	0.0540202	0.0152734	0.514217	-0.0196968	0.0823637	-0.0476327	0.142193	-0.0878239	0.029468	0.0689426	0.600309	-0.0559146	0.092318	-0.197548	0.32572	-0.0979976	0.00134007	-0.0354227	-0.263005	-0.0794456	0.0100296	0.139437	0.0415525	-0.0480441	-0.193547	0.278744	-0.0888897	-0.0967755	-0.0421845	0.14489	0.0170988	0.0561862	0.236162	0.459526
0610009O20Rik	0.121227	-0.14972	-0.277935	-0.431181	0.0880524	-0.174146	-0.515818	-0.405186	-0.0336949	-0.212809	-0.611147	-0.441644	0.0667205	-0.34785	-0.5007	-0.424085	-0.0108346	-0.414255	-0.27721	-0.677837	-0.0119619	-0.0747834	-0.440203	-0.599503	-0.129931	-0.361632	-0.507771	-0.674522	-0.179071	-0.486051	-0.614475	-0.798049	-0.0644683	-0.180292	-0.612573	-0.520039	-0.0470573	-0.3505	-0.617421	-0.812496	0.0106247	-0.427085	-0.695054	-0.0671562	-0.162073	-0.605066	-0.62301	-0.0502117	-0.619475	-0.704777	-0.824617
0610010K14Rik	-0.100828	0.180723	0.0524704	0.0229276	-0.0832042	0.241828	0.0761668	0.0211086	-0.0200072	0.192053	0.0468418	-0.0530484	-0.058093	0.23079	0.0628987	0.000548874	-0.042343	-0.168525	0.0371065	0.372802	-0.0891038	0.0338238	-0.0781765	0.213976	-0.165596	0.0403044	-0.0314057	0.00485737	-0.131207	-0.0521605	0.0401923	-0.0183154	-0.0257851	0.0236935	-0.0381479	0.0895518	-0.102535	-0.00779915	-0.0140013	0.196163	-0.171038	-0.132976	0.205589	-0.00978148	-0.179524	0.0979995	0.119875	-0.0981381	-0.150039	0.0706477	0.0681905
0610011F06Rik	0.037476	-0.232313	-0.4459	-0.631524	0.0579225	-0.512698	-0.782131	-0.697256	-0.140802	-0.767767	-0.907268	-0.69534	-0.316836	-0.975772	-0.747001	-0.649664	-0.0451606	-0.806667	-0.788078	-1.02756	-0.0335886	-0.216046	-0.694686	-0.622277	-0.141326	-0.452458	-0.718186	-1.07848	-0.40753	-0.787228	-1.12894	-1.57509	0.101839	-0.26011	-0.743799	-0.982987	0.0212067	-0.590005	-1.29427	-1.68775	-0.1534	-0.968424	-1.85892	-0.0409741	-0.371701	-0.964299	-1.24441	-0.166879	-1.00269	-1.53226	-1.54114
0610031J06Rik	-0.106039	0.171375	-0.085944	-0.0727698	-0.230472	-0.0384058	0.0396887	-0.128891	-0.157346	-0.125592	-0.0925189	-0.0879773	-0.202486	-0.190522	0.031328	-0.167007	-0.213737	-0.242066	-0.200539	0.283455	-0.0435403	0.0275744	0.0314486	0.0483955	-0.193793	-0.0193553	0.0105914	-0.124294	-0.44377	0.0338095	0.19675	-0.184185	-0.22995	-0.0145927	0.160144	0.0787015	-0.176968	-0.0927354	-0.0643157	0.114818	-0.288979	-0.0571639	0.00658587	0.0356622	-0.180816	0.292149	0.235046	0.00185382	0.133944	0.0202969	0.00483194
1110004E09Rik	-0.331904	-0.0726428	0.0624066	-0.0573812	-0.256223	0.0474239	-0.0650884	-0.45694	-0.181589	0.0671236	0.0931978	-0.36866	-0.0972203	0.141569	0.0569379	-0.400771	-0.0320322	-0.502096	-0.801628	-0.937681	0.0804853	-0.0104452	-0.308768	-0.432066	0.0978053	-0.0136773	-0.188781	-0.543249	0.00099277	-0.135709	-0.57073	-0.879887	-0.113161	0.186318	-0.157662	-0.334183	-0.29986	-0.14085	-0.592761	-0.47424	-0.334584	-0.324218	-0.766951	-0.0126626	-0.258255	-0.528852	-0.589908	-0.0916096	-0.292661	-0.549239	-0.592828
1110004F10Rik	-0.662733	0.229307	-0.0668185	-0.351809	-0.700304	0.27256	-0.0299155	-0.685347	-0.150707	0.0831063	0.393705	-0.701566	-0.509486	0.192487	0.223294	-0.60151	0.0454826	-0.0865735	-0.216579	0.186159	-0.101021	-0.121207	-0.123513	0.0577152	-0.0269234	-0.0758955	-0.0428813	0.0180811	-0.263427	0.025287	-0.0589661	-0.0734796	-0.144728	-0.0498003	-0.129657	-0.0472792	-0.0398034	-0.193643	-0.0150582	0.194922	-0.176758	-0.0897094	0.097792	0.115587	-0.0762429	-0.0691757	0.164537	0.0422953	-0.162154	0.0654366	0.209699
1110007C09Rik	0.123829	-0.0738364	-0.00530594	0.15145	0.0337944	-0.00708051	0.123188	0.459243	-0.0591968	0.177838	0.184822	0.379586	0.0385643	0.234219	0.263861	0.548698	-0.0808176	-0.0923234	0.191475	0.757309	0.0401164	-0.0401353	0.244058	0.402832	-0.280356	-0.0107294	0.254822	0.802329	-0.614718	0.258288	0.85256	0.739982	-0.261736	-0.00834539	0.313112	0.591427	-0.253686	0.0277611	0.868038	0.982957	-0.249995	0.372742	1.01361	-0.0386017	-0.244112	0.735476	1.01103	-0.0195504	0.185197	0.956951	0.991549
1110008L16Rik	0.0699537	0.490699	-0.0415543	-0.00936424	-0.0446785	0.474293	0.114816	0.233905	0.125452	0.332254	-0.123987	0.0384357	0.187875	0.430551	0.124991	0.18695	0.120022	0.345325	0.112161	0.393861	-0.114666	0.0632397	0.150663	-0.0111784	0.0406919	-0.235442	-0.113488	0.058038	-0.0812548	-0.15627	0.176066	0.320129	-0.407668	-0.00132419	0.32906	0.232145	-0.400302	0.334146	0.79207	0.646923	-0.0834462	1.03654	0.924045	0.0655648	-0.119325	0.604616	0.603456	-0.038919	0.525721	1.03488	0.66173
1110008P14Rik	-0.0784205	-0.158878	-0.11723	0.0640602	-0.0341342	-0.116503	-0.00211339	0.0648927	-0.080338	-0.0983441	-0.0734738	0.287078	-0.0507519	-0.0882542	0.0600204	0.395891	-0.0518855	-0.0537906	0.0706853	0.404828	0.0374074	-0.0826664	0.00474894	0.220552	-0.00092309	0.052348	-0.00329399	0.367802	-0.545178	0.397289	0.480175	0.367802	0.119029	0.00307642	0.0814951	0.370802	-0.0401089	0.00725899	0.281593	0.739755	-0.0194173	0.363908	0.417096	0.0180223	-0.143515	0.206471	0.734662	-0.0275642	0.111365	0.747431	0.75187
